learn_best,count,tags
Having an immense amount of examples to look at for reference,1,worked_examples
"Completing multiple practice problems allows me to recognize patterns and figure out what I must do to succeed. Additionally, participating in peer learning/attending office hours really allows me to get a more digestible explanation and subdue my confusion.",1,general_practice+pattern_recognition+peer_collaboration+office_hours
Seeing other practice problems to help me recognize patterns help me.,1,general_practice+pattern_recognition
"I am still not sure, as I am still on the journey of finding the best study method. However, I feel what helps me best reflect on my mistakes is by looking over what I did wrong and trying more practice problems similar to that one.",1,mistake_analysis+general_practice
Reading text book,1,textbook_notes
To take a step back and take a break before going back into the problem,1,break_timing
Just constant practice problems and going to office hours.,1,general_practice+office_hours
Going to office hours/watching video for help,1,office_hours+video_tutorials
"Reviewing it multiple times, and going back to it later on. Doing practice problems and watching videos on the concepts.",1,repetition+general_practice+video_tutorials
Usually what helps me learn the best is going to office hours and having someone explain the concepts to me. When ever I try to understand by myself I get frustrated because I don't understand even with those resources sometimes. It is helpful when an expert like a Professor or TA can explain it or show me the right approach.,1,office_hours
Office hours,1,office_hours
Reviewing it on my own again and explaining it to others.,1,repetition+self_explanation+peer_collaboration
talking about difficult ideas with my peers,1,peer_collaboration
someone teaching me,1,office_hours+peer_collaboration+tutoring_programs
Practice exams and practice questions usually help me learn best when material feels confusing and challenging.,1,general_practice
"I usually try to look for other resources that explain the material in different ways, or I seek out practice problems.",1,multiple_sources+general_practice
Completing problems and seeing which steps lead to the right answer.,1,general_practice+worked_examples
Office hours. Asking questions directly to the professor and listening to what questions other students might have,1,office_hours+asking_questions
making my notes,1,self_explanation+textbook_notes
Doing practice with other people,1,general_practice+peer_collaboration
Organic Chemistry Tutor on YouTube and other online resources,1,video_tutorials+other_online
Practicing the material and looking into outside resources helps me learn best when material feels confusing or challenging.,1,general_practice+other_online
Reasoning through worked examples,1,worked_examples+concept_focus
"I go back to the basics. I have the tools and the capacity to understand anything that is presented in class. So when I feel like I am struggling, I go back to the fundamentals and build up to what is new.",1,foundational_review
I just do practice problems over and over again until they click,1,general_practice+repetition
"What helps me most is doing more practice problems and getting help from other people who have a good grasp on the material, friends, TAs, professors, etc.",1,general_practice+peer_collaboration+office_hours
"This quarter, I'd say going to office hours and interacting with the TA or LAs during discussion. I always asked friends for help, and still do, but sometimes we're all confused or not sure, Going over extra practice problems instead of writing lecture notes helps.",1,office_hours+tutoring_programs+peer_collaboration+general_practice
Watch youtube videos,1,video_tutorials
Being given an example or asking if the way im interpreting the information is correct,1,worked_examples+asking_questions
"Asking peers, rereading the textbook, going over the correct solution",1,peer_collaboration+textbook_notes+worked_examples
"Starting with the questions, or problems fro homework. It gives me a sense of what to look for or at least know where and how does the new material get applied.",1,general_practice+pattern_recognition
Video resources and alternative explanations,1,video_tutorials+multiple_sources
"Repetition, by doing more and more problems I grow in confidence.",1,repetition+general_practice
Asking questions and reading the textbook helps me learn,1,asking_questions+textbook_notes
I like working things out on my own or using videos but this often takes a while.,1,self_explanation+video_tutorials
Going to office hours held by TAs and the professor helps me learn best. Also reviewing lecture material and reading the textbook if I cannot understand the lecture helps.,1,office_hours+textbook_notes+repetition
Explanations from my patient friends.,1,peer_collaboration
Doing practice problems and exams until I feel like I can do problems without my notes/help.,1,general_practice+repetition
I usually do more practice questions that make me think about different exceptions to rules.,1,general_practice+concept_focus
"I have always believed that when professors provide their own practice problems or practice exams, that's when I feel the most supported and perform best (specifically with answer keys as well to understand my mistakes).",1,general_practice+worked_examples+mistake_analysis
Understanding the material first is a must when material is confusing. Then I am able to employ study strategies to memorize facts and material in order to apply my understanding of the material.,1,concept_focus
Google,1,other_online
Examples and practice problems.,1,worked_examples+general_practice
I ask my teachers and TAs. I consult the internet and ChatGPT (on concepts only).,1,asking_questions+office_hours+other_online+AI_chatbots
practice problems,1,general_practice
"Going over practice problems more than redoing notes is helpful. Referring to lecture slides to reference something is good, as well as looking up examples of calculations or formulas which I forgot from 20L. Asking friends is good, but I haven't had to ask much from classmates yet.",1,general_practice+textbook_notes+worked_examples+peer_collaboration
Youtube videos,1,video_tutorials
"Office hours, videos, and practice",1,office_hours+video_tutorials+general_practice
I go to office hours and discussions to get one-on-one guidance/ help from the TA. This helps clear my mind about some of the confusions I had.,1,office_hours+tutoring_programs
Professors going over most commonly made mistakes and explaining why it’s wrong.,1,worked_examples+mistake_analysis
I like to go to office hours and ask for one-on-one help. I also like to try a lot of different practice problems.,1,office_hours+asking_questions+general_practice
"When material feels confusing or challenging, I like to figure out the why of it. For example, I have tried deriving important equations and explaining models in my own words in previous chemistry classes.",1,concept_focus+self_explanation
Doing practice problems,1,general_practice
office hours,1,office_hours
Doing problems step by step with someone to help me.,1,worked_examples+peer_collaboration+office_hours
Seeing someone go through problems (more examples) usually helps me learn best when material feels confusing or challenging.,1,worked_examples
doing practice problems and using outside resources such as youtube videos to better understand the material,1,general_practice+other_online+video_tutorials
Being able to ask questions,1,asking_questions
Watching Youtube videos and completing a lot of practice problems.,1,video_tutorials+general_practice
Having someone throughly explain it step by step.,1,worked_examples
I like working with others. Asking for help from the professor or TAs as well as forming study groups. Talking out my thoughts with others helps a lot.,1,peer_collaboration+office_hours+asking_questions
"I take a step back and try to break material down into simpler terms for me to understand broader concepts first, before moving on to a more complex problem. If material is challenging, I continue forward. I enjoy a challenge.",1,foundational_review+self_explanation
Watching videos or finding websites that explain the concept(s).,1,video_tutorials+other_online
"Repetition, multiple sources of help and explanations, and perserverance.",1,repetition+multiple_sources
Going to office hours or using alternate resources such as youtube videos to better understand topics,1,office_hours+other_online+video_tutorials
Many many practice problems,1,general_practice
I like doing practice problems and reviewing old notes when materials begin to feel confusing.,1,general_practice+textbook_notes
When someone goes through a problem with me and details the things to look out for because I know this class is more keen on pattern recognition rather than memorization. It's also important that they define why or what something is in the middle of doing it.,1,worked_examples+peer_collaboration+office_hours+pattern_recognition+concept_focus
Completing practice problems and watching videos that are related to the subject.,1,general_practice+video_tutorials
Working in groups.,1,peer_collaboration
Watching review videos of the concept and then attempting practice problems.,1,video_tutorials+general_practice
Going to office hours or asking a friend/classmate,1,office_hours+peer_collaboration
slightly homoerotic one-sided academic rivalry,1,homoerotic
Practice problems in the textbook,1,general_practice+textbook_notes
Going over it and watching videos 🤩,1,repetition+video_tutorials
I would reach out to my friend for help.,1,peer_collaboration
Doing lots of practice problems,1,general_practice
"Seeking out help and explanations help me learn best when material feels confusing or challenging. I think that reviewing notes, lecture videos, and doing practice problems also help me learn best in these situations.",1,asking_questions+office_hours+peer_collaboration+textbook_notes+video_tutorials+general_practice
Help from others,1,peer_collaboration+office_hours+tutoring_programs
"seeking help from a different source (video, examples, or friend) or reviewing in office hours",1,multiple_sources+video_tutorials+worked_examples+peer_collaboration+office_hours
"Watching videos, making flashcards and reviewing",1,video_tutorials+repetition
"Asking a friend, TA, or professor to explain.",1,asking_questions+peer_collaboration+office_hours
I love using materials such as YouTube or O-chem as a second language to help explain any difficult topics. I also do a lot of practice problems to get repetition for different mechanisms.,1,video_tutorials+other_online+general_practice+repetition
"I like to watch videos to review the material before and after class, just in case I missed something during the lecture. I find the post-assessment questions and the videos to be extremely helpful and hope there will be many of them in the future.",1,video_tutorials+general_practice
"Active discussion about the material, especially verbal and practice.",1,peer_collaboration+general_practice
"I think asking questions, tackling problems with classmates and asking for help from TAs.",1,asking_questions+general_practice+peer_collaboration+office_hours
I search online for more explanations of the material or go to office hours to ask the professor for help.,1,other_online+multiple_sources+office_hours+asking_questions
Attending office hours or watching YouTube videos on the topic.,1,office_hours+video_tutorials
"I will go back through the lectures, go to office hours to ask questions, or ask one of my peers if they understand the concept.",1,repetition+office_hours+asking_questions+peer_collaboration
Reading the textbook or watching YouTube videos,1,textbook_notes+video_tutorials
Watch Youtube Videos,1,video_tutorials
"Usually creating a mind map, questioning myself to find where I'm stuck, and also asking a friend for help.",1,self_explanation+asking_questions+concept_focus+peer_collaboration
"Going over slides, doing problems",1,textbook_notes+general_practice
"More time studying, outside resources, practice questions",1,multiple_sources+other_online+general_practice
"Assessing specifically where I am lacking, then going to TA's for help.",1,mistake_analysis+concept_focus+office_hours
"When the material feels confusing, I go to office hours and get my questions clarified! Beyond that, i also challenge myself with additional practice problems and I found that really helps to reinforce my knowledge.",1,office_hours+asking_questions+general_practice
"Doing practice problems and then comparing it with the solution with a step by step to see what I'm doing right or wrong, and what unnecessary steps I am doing.",1,general_practice+worked_examples+mistake_analysis
Watching videos on the topic and checking my understanding with quizzes and then being able to teach it to someone else.,1,video_tutorials+general_practice+self_explanation+peer_collaboration
Having review session and TA/LA that can support my learning. Office hours are super helpful for me.,1,tutoring_programs+office_hours
watching videos,1,video_tutorials
Rewatching lecture and doing problems over and over again,1,repetition+general_practice
I use AI to explain the subject to me or watch videos/use websites. If I understand it to a good level I have AI give me more difficult questions on the topic to make myself understand it better.,1,AI_chatbots+video_tutorials+other_online
"I read it again, and then again, and if I still don't get it, I'll do some practice problems.",1,repetition+general_practice
"Doing more practice problems and watching YouTube videos, rewatching lectures, or reviewing notes/slides",1,general_practice+video_tutorials+repetition+textbook_notes
Encouragement from others,1,peer_collaboration
Asking for help.,1,asking_questions
Working with others to go over missed problems and then attempting similar problems on my own.,1,peer_collaboration+mistake_analysis+general_practice
People around me,1,peer_collaboration
Practice problems all the way.,1,general_practice
Someone explaining the concepts to me in-person,1,office_hours+peer_collaboration+tutoring_programs
I watch videos related to the concept I am struggling with.,1,video_tutorials
Explaining concepts to myself using my own words,1,self_explanation
"I usually reread the lecture notes and the textbook chapters. If I still don't understand, then I try to watch some youtube videos on the topic or asking my peers. Lastly, if I'm still stuck and not grasping it, I email the professor asking them for help.",1,repetition+textbook_notes+video_tutorials+peer_collaboration+asking_questions+office_hours
"Talking to a friend, rewatching lectures, watching YouTube videos.",1,peer_collaboration+repetition+video_tutorials
Giving up completely,1,miscellaneous
Definitely asking questions to my peers or during discussions.,1,asking_questions+peer_collaboration+tutoring_programs
"Spending more time studying, asking friends for help,",1,peer_collaboration+asking_questions
Walking through practice problems that properly reflect the exam difficulty level.,1,general_practice+worked_examples
I try to stay calm and do practice problems. It helps when I go through my mistakes and understand them.,1,general_practice+mistake_analysis
When adequate practice questions are available so I can practice until I feel confident.,1,general_practice
Doing a lot of practice problems to start getting a better understanding of the material.,1,general_practice
I normally study with friends and pay attention to their explanations of certain problems that I find difficult.,1,peer_collaboration+worked_examples
Repetition and watching YouTube videos.,1,repetition+video_tutorials
I find practice problems online and use outside resources such as videos to explain concepts.,1,general_practice+other_online+video_tutorials
"I usually attend office hours. However, sometimes it is super crowded, and I can't answer my questions (and it instead wastes time).",1,office_hours+suggestions_complaints
"Going to a difference source to explain it for me. Sometimes I just might need a different explanation for the concept to click. If I don't understand something during a lecture, I can read the textbook, ask a friend, go to office hours, etc.",1,multiple_sources+textbook_notes+peer_collaboration+office_hours
"It's best for me to review lecture recordings, redo the same problems multiple times to understand, or the textbook can be useful when it comes to rereading and understanding more in depth.",1,repetition+general_practice+textbook_notes
Practice problems with an answer key and a detailed breakdown of how to find the solution,1,general_practice+worked_examples
searching for other supplemental materials on this topic,1,multiple_sources+other_online
"I really like watching videos or reading the textbook if I am lost on a concept. Afterwards, I try doing practice problems until I get a handle on how to solve the specific type of question.",1,video_tutorials+textbook_notes+general_practice
"Going back to the textbook, talking out the concept to myself or to other people, watching youtube videos about a certain concept to see if I understand the material when it is taught in a different way.",1,textbook_notes+self_explanation+peer_collaboration+video_tutorials+multiple_sources
"constant practice, getting help from instructors or TA's, videos on the concept",1,general_practice+office_hours+video_tutorials
I typically ask a lot of questions to help me gain a better understanding.,1,asking_questions
"When I become confused in a class and it affects my grade, I usually pour all of my time and effort into that class by going to office hours, rereading notes, and completing every practice problem. I also seek help from upperclassmen and my friends.",1,office_hours+repetition+textbook_notes+general_practice+peer_collaboration
"Practice problems
Videos
Rewatching lectures",1,general_practice+video_tutorials+repetition
Struggling with the material and exhausting all my questions/hypotheticals,1,asking_questions+concept_focus
"Practice problems with answers and worked solutions provided, and asking clarifying questions",1,general_practice+worked_examples+asking_questions
I just have to do a bunch of practice problems until the material feels familiar.,1,general_practice+repetition
Practice problems and flash cards!,1,general_practice+repetition
Using online resources,1,other_online
"I think that talking to peers about the material usually helps me because we are able to share ideas, and I can actively recall the information.",1,peer_collaboration
Studying with peers and others in the class. Being able to interact with others and bounce ideas off of each other improves morale and aids in learning.,1,peer_collaboration
Reading the textbook and doing the problems at the end of each chapter at my own pace.,1,textbook_notes+general_practice
Study groups with friends or talking to someone who did understand it!,1,peer_collaboration
"Discussing it with a friend, particularly one that's knowledgable about chemistry.",1,peer_collaboration
"I review and/or rewatch lectures, complete all of the problem sets we have been assigned, and ask questions in class or office hours.",1,repetition+general_practice+asking_questions+office_hours
I learn best through a surplus of practice problems.,1,general_practice
When the proff. does in class examples of problems,1,worked_examples
I feel that practice problems and a visual walkthrough of it is how I learn the most.,1,general_practice+worked_examples
..,1,miscellaneous
"Textbook problems and practice, however I tend to opt out of textbook access due to finances",1,general_practice+textbook_notes
Looking at alternate resources and going to office hours,1,multiple_sources+office_hours
Review sessions,1,tutoring_programs
Someone to slowly walk through the material with me after learning about it in lecture.,1,worked_examples+office_hours+peer_collaboration+tutoring_programs
Going over notes and reexplaining the material to myself (in a google doc) in my own words.,1,repetition+self_explanation
"I try to find some other place to explain it to me, whether it be some other student or Youtube.",1,multiple_sources+peer_collaboration+video_tutorials
Practice problems that have detailed answer keys.,1,general_practice+worked_examples
Practicing problems and asking multiple sources for their help and knowledge on the submit.,1,general_practice+asking_questions+multiple_sources
looking at videos and doing practice problems.,1,video_tutorials+general_practice
Having access to the solution and explanations of how it was reached,1,worked_examples
studying with people.,1,peer_collaboration
Practice problems and going to office hours.,1,general_practice+office_hours
Knowing that I am not the only person to have ever struggled with the given topic.,1,miscellaneous
Watching youtube videos and doing practice problems.,1,video_tutorials+general_practice
Detailed solutions to problems where I can follow along each step and correct my mistakes. I also like directly asking my professor/TA for help.,1,worked_examples+mistake_analysis+asking_questions+office_hours
Going to office hours and doing practice problems,1,office_hours+general_practice
"The best method for me is to seek help from an instructor, such as a TA or the professor and get direct one on one help on a certain problem, which I can then apply to other similar questions.",1,office_hours+asking_questions+worked_examples
I learn best when I practice and find more explanations of the material.,1,general_practice+multiple_sources
"I have friends explain it to me, or I talk to a professor or TA in person to clarify concepts. Before that, I rewatch lecture videos, watch YouTube videos, and do textbook practice problems.",1,peer_collaboration+office_hours+asking_questions+repetition+video_tutorials+general_practice+textbook_notes
Finding outside resources/videos to do content review with to explain difficult concepts.,1,multiple_sources+other_online+video_tutorials
"I reread the textbook, take new notes, find videos online, and go to office hours",1,repetition+textbook_notes+self_explanation+video_tutorials+other_online+office_hours
Start going through what I understand from the problem and going through possible ideas.,1,general_practice+concept_focus
Watching online tutorials and practicing a lot,1,video_tutorials+general_practice
Piecing together my notes,1,self_explanation+textbook_notes
I usually watch videos to try and hear the topic in a different manner.,1,video_tutorials+multiple_sources
Reviewing where I went wrong and trying different studying habits,1,mistake_analysis
Reviewing the concepts and ideas behind the problems asked.,1,concept_focus
Lots of practice questions and exams that give answer keys explaining how each answer was found,1,general_practice+worked_examples
Practice Problems,1,general_practice
What helps me learn best when material feels confusing or challenging is reading a textbook or watching videos before approaching the problem because understanding the concepts before approaching problems helps me recall the material more.,1,textbook_notes+video_tutorials+concept_focus
I feel that going over material with others helps a lot when topics are confusing as others around me may understand the content better and can lead to my own understanding of the material.,1,peer_collaboration
Doing many practice problems.,1,general_practice
"Review, asking questions, practice questions",1,repetition+asking_questions+general_practice
Easy exams.,1,miscellaneous
"Having an expert in the subject, a TA or Instructor, answer my questions an/or walk me step-by-step through a problem.",1,office_hours+asking_questions+worked_examples
Watching YouTube videos of respected tutors is helpful to me.,1,video_tutorials
Trying different approaches to learning and also doing practice problems helps me best when the material feels confusing or challenging.,1,multiple_sources+general_practice
"I think watching videos, collaborating with peers, attending office hours, and completing practice problems all help me understand the material when it feels confusing or challenging.",1,video_tutorials+peer_collaboration+office_hours+general_practice
"I will refer to all the class resources first, lecture notes, recording, and textbook. Then I may refer to practice questions and ChatGPT to explain concepts to me for specific questions.",1,textbook_notes+repetition+general_practice+AI_chatbots
"Going to office hours, watching YouTube videos, and lots of PRACTICE help me when material feels confusing.",1,office_hours+video_tutorials+general_practice
Active recall methods and practicing test problems help a lot.,1,general_practice
Taking a new approach and working at it day by day,1,multiple_sources
Going over my mistakes and practicing them over again until I get them right.,1,mistake_analysis+general_practice+repetition
"What helps is going step by step on problems that I don't understand, finding and understanding the concept of the topic.",1,worked_examples+concept_focus
The most effective way for me to study novel chemistry topics is by completing practice problems and going to office hours to get help clarifying where I was incorrect in my processes.,1,general_practice+office_hours+mistake_analysis
"When the material feels confusing I utilize my AAP PLF session, YouTube videos, my TAs office hours, an extensive amount of practice problems and my friends who are in the class",1,tutoring_programs+video_tutorials+office_hours+general_practice+peer_collaboration
Grinding practice problems.,1,general_practice
Studying with others,1,peer_collaboration
"Usually, when I am able to relate the material to something I am confident in.",1,real_world_examples
I like drilling practice problems!,1,general_practice
Videos and images help me learn best. Review also helps me learn best when it’s confusing.,1,video_tutorials+repetition
Asking for help!,1,asking_questions
Working with other people.,1,peer_collaboration
I like communicating with someone and finding ways to reword the problem to fit my understanding of it.,1,peer_collaboration+self_explanation
Talking about it.,1,peer_collaboration
I usually find videos online explaining concepts or look up solutions to problems.,1,video_tutorials+other_online+worked_examples
"Learning the material in different ways (videos, textbook readings, explaining concepts to myself...), doing lots of practice problems",1,multiple_sources+video_tutorials+textbook_notes+self_explanation+general_practice
Consistent Practice,1,general_practice
Going back to the textbook to learn concepts,1,textbook_notes+concept_focus
Asking the teacher or my peers questions and also turning to the internet to explain.,1,asking_questions+office_hours+peer_collaboration+other_online
Attending office hours and talking to my peers in the same or similar courses helps me gain a better understanding of the course material.,1,office_hours+peer_collaboration
saying it as a story and simplifying it,1,self_explanation
Asking other people for help or walking through the problem with other people,1,asking_questions+peer_collaboration+worked_examples
Watching Audio Visual Modules and taking the assessments,1,video_tutorials+general_practice
going to office hours; watching outside videos to review the concepts,1,office_hours+video_tutorials
reviewing lecture notes,1,repetition+textbook_notes
Additional videos.,1,video_tutorials
Usually I would require more explanations on topics I don’t understand and to go over concepts more slowly.,1,multiple_sources+concept_focus
"I like reading the textbook and retaking notes from the lecture slides and the textbook. I like to then do homework problems to apply the knowledge. I like having a study buddy that understands the topic better than me so that I don't lead myself astray and solidify the wrong information.
simple straightforward notes help. like a key of equations and when to use them.",1,textbook_notes+self_explanation+general_practice+peer_collaboration
"I try to study with others and explain the material to them as if I am the one teaching, because that drills the content into my head better. If I really don’t understand then I seek help through YouTube Videos or trying to ask the professor questions.",1,peer_collaboration+self_explanation+video_tutorials+asking_questions+office_hours
"Studying in groups, doing practice problems, and the white board method.",1,peer_collaboration+general_practice
I usually just look and relook at my notes attempting to explain it to myself. If I can explain why things happen then I understand it. I also try to summarize main concepts rather than the small things.,1,repetition+textbook_notes+self_explanation+concept_focus
"I usually watch organic chemistry tutor, or khan academy.",1,video_tutorials
"When I talk to someone (instructor, TA, LA, or classmate) and have them explain to me",1,office_hours+tutoring_programs+peer_collaboration
Youtube Videos,1,video_tutorials
Lots of practice problems and going to office hours.,1,general_practice+office_hours
"I rewatch lectures, review the textbook, and look for online resources that explain challenging topics from a different perspective.",1,repetition+textbook_notes+other_online+multiple_sources
I tend to do practice problems until I feel confident in my ability.,1,general_practice+repetition
"putting in the work after hours and researching, asking peers",1,other_online+asking_questions+peer_collaboration
"Going to plf, asking questions, getting a tutor, practice problems.",1,tutoring_programs+asking_questions+general_practice
"Taking things one step at a time; not trying to take in everything at once, but going through each step/component and understanding that, and then after going through each part slowly, then finally thinking about the whole again to understand. Going one piece at a time also helps things from feeling overwhelming and discouraging.",1,concept_focus+foundational_review
Usually doing more practice problems to build familiarity and understanding of the question and material.,1,general_practice
Extra examples that actually apply to the concepts that we're learning and don't reach beyond our knowledge just for the fun of it.,1,worked_examples
Study the notes and watch videos on the topics. (Also going to office hours help.),1,textbook_notes+video_tutorials+office_hours
"Attending office hours, connecting with peers, or looking for help online are all tactics I use to understand when materials feel confusing or challenging.",1,office_hours+peer_collaboration+other_online
Seeking assistance from others who do understand the material.,1,asking_questions+peer_collaboration+office_hours+tutoring_programs
Instructional videos that teach the concepts and the steps to solving problems related to the concepts.,1,video_tutorials+worked_examples
Reviewing lectures and doing practice problems.,1,repetition+general_practice
Doing practice problems helps me feel more confident on confusing or challenging materials.,1,general_practice
"Seeking support through TAs, peers, or other campus resources.",1,office_hours+peer_collaboration+tutoring_programs+other_online
problem walkthroughs with thought process,1,worked_examples+concept_focus
"Attending TA office hours, PLFs and talking with other students as well as practicing on my own with additional resources outside of this class.",1,office_hours+tutoring_programs+peer_collaboration+general_practice+other_online
"Reading the textbook, solving more practice problems, revisiting the notes, going to start going to the step-up sessions, watching viddeos online",1,textbook_notes+general_practice+repetition+tutoring_programs+video_tutorials
"Having support, more problems, and consistent/accessible help",1,miscellaneous
I usually watch videos online that explain concepts in more detail. It helps when there are visual aspects in those videos as well.,1,video_tutorials
"Office hours, peers, online resources, or AI learning help like ChatGPT.",1,office_hours+peer_collaboration+other_online+AI_chatbots
Working with other students and explaining concepts to them.,1,peer_collaboration+self_explanation
I usually try to take a break and then return instead of powering through.,1,break_timing
Finding explanations online or taking a break and trying again.,1,other_online+break_timing
By doing practice problems and connect the dots where I am messing up.,1,general_practice+mistake_analysis
