nervous,count,tags
Whether or not I'll do well. I come straight out of high school so I don't know if my study habits will work and carry me as well. I am also worried about the math related to chemistry (I'm pretty not great at it). I am also worried if I can manage my time properly to succeed in my classes.,1,PR005+TR004+ST001+CN004+PC004
mid term,1,EX001
I am pretty nervous about the speed of this course, as I am only used to the speed in high school courses.,1,PC001+TR004
Understanding the concepts fast enough to be prepared for the midterms that come up super fast.,1,PC001+EX001
As Ochem is just known to be difficult, I have been nervous about the amount of information and the difficulty of the course. However, I believe the course provides the resources and help to guide me to success, I just need to utilize them and my time well and effectively.,1,RP001+PC003
The amount of midterms and the transition to a college level course.,1,EX001+TR004
I just feel that there is a lot of workload for this class, as we need to complete a pre and post-lab for each experiment with 2 experiments per week. I really need to manage my time well with other classes.,1,PC002+LAB002+PC005
THE MIDTERMS!!!!,1,EX001
30A concepts that i didnt fully understand,1,FND002+CN003
I am most nervous about naming conventions for organic molecules.,1,CM003
20L concepts i need to review,1,FND002
Everything,1,MT002
The pace in relation to timing of exams,1,PC001+EX005
I'm nervous for midterms/finals since I sometimes forget some things (especially from the beginning). Ultimately, though, my preparedness is left in my hands.,1,EX001+EX007+CN001
I am just nervous about my lack of prior chem knowledge, and the transition between a smaller learning space to a large one.,1,FND001+TR006
passing the class. I hope to get at least a C to be able to fufill my major requirement, but the class is taught very fast and have always had difficulty leanring chemistry,1,PR002+PC001+CN003
Getting behind,1,PR001
I am worried about falling behind early,1,PR001
I did poorly in Chem 14AE because I had trouble understanding the course content. I am worried that if I had difficulty in the first chemistry course, I will have trouble with future chemistry courses. However, I am aware of available resources and will take advantage of them if necessary.,1,MT004+CN003
I am most nervous I won't be able to predict which mechanism will be used for a reaction.,1,CN002+CN005
I feel like I don't really know how to apply the concepts to actual problems.,1,CN005
I am a transfer student, and my worry is about the change from the semester system to the quarter system and how this fast-paced learning will be more difficult than what I am used to.,1,TR001+PC007
N/A.,1,MT005
The time commitment associated with 2 post-labs, 2 pre-labs, and 6 hours of labs every week.,1,PC004+LAB002
I heard that the final only consists of a few questions so if I accidentally get one wrong, there will be a huge reduce to my grade.,1,EX007+EX002
Test anxiety because it always gets the best on me,1,EX009
The magnitude of content that we have to know and knowing how to actually apply the content. (conceptually understanding the content beyond baseline understanding),1,PC003+CN005
Not being able to apply myself on an exam or prepare enough, however I am putting in effort to keep up with the material and do practice problems,1,CN005+EX004
I'm most nervous about tackling new concepts that I haven't seen before, especially because we are moving at a pace that is faster than I'm used to.,1,CN003+PC001
Unpredictability of exams, and small mistakes slipping through on homeworks,1,EX003+EX001
I am extremely slow in understanding and the concepts don't just "click" for me. While I spend hours making sure I understand the initial concepts, I feel like the course moves faster than I can. I also believe that if I don't master the first few concepts I am literally unable to move on, which usually has proven to be true.,1,CN003+PC001+ST001
The fast pace of the course and staying on top of learning new topics.,1,PC001+PR001
I'm nervous about the exams,1,EX001
Keeping up with the work, and understanding all the concepts as the class accelerates,1,PR001+CN003
The material seems more complex than in past chemistry courses.,1,CN003
I worry about not get a,1,PR003
Test and midterm structures,1,EX002
Understanding all of the concepts,1,CN003
Taking a midterm for the first time, taking a final exam worth most of my grade, free response questions rather than MCQ, is partial credit for work shown given?,1,EX001+TR002+EX007+EX002
EVerything but i am prepared,1,MT002
everything but i am prepared,1,MT002
I am most nervous about taking chemistry my first quarter of college because chemistry is not my strongest subject, and I strive to succeed in this course. I know that I must manage my time efficiently and develop good study habits in order to have success in this course.,1,TR002+PC004+ST001
I am most nervous about getting into actual chemistry concepts. Currently we are only doing math, which is one of my strong suits. My friend who took AP Chem listed off concepts that sounded hard; however I’m sure with a little studying I can get it!,1,CN003+CN004+FND003
Having to memorize too much content.,1,CN001+PC003
ochem is hard,1,RP001
weak 14C background -> need to put in extra work,1,FND001
I forgot the material from ochem 1 and since i transferred from a community college i kinda feel like an outsider.,1,CN001+TR001+PF002
The sheer volume of content. I am not sure how to learn everything so quickly.,1,PC003
I am most nervous about the pace of this course. Chemistry, and organic chemistry in particular, requires students to memorize (and deeply understand) a litany of concepts very quickly. I just hope I can keep up.,1,PC001+CN001+PR001
I am most nervous about the amount of memorization required for tests.,1,CN001+EX001
Remembering all the different mechanisms.,1,CN001+CN002
I haven't taken chemistry since Sophomore year and I fear I will not be able to recall or apply high school chemistry skills to new concepts.,1,FND004+FND003
My studying effectiveness. Although I know it has became better.,1,ST001
The classes are dense and the concepts are hard to truly conceptualize.,1,PC002+CN003
Being prepared to take the course. Since the chemistry professors tend to have different ideas of what students need to know or how they interpret certain things it makes it a bit confusing as I progress through the chemistry series.,1,EX004+TR005
I am most nervous about staying on top of my work and managing my time efficiently to solve enough practice problems before midterm exams.,1,PR001+PC004+ST003
I'm nervous about keeping up with the content and relearning material if necessary because of how little lecture slides there are.,1,PR001+FND001+LG003
I am nervous about the speed of material and the pace of the course.,1,PC001
Finding the time to go to office hours and time management during exams.,1,PC004+EX005
Exam preparation.,1,EX004
I know that Chem 14D is like ochem part 2, some materials overlap but some are not, they are completely new to me. So i often feel worry that I won't be able to catch up or understand.,1,FND001+PR001
Since I took AP Chemistry in high school, I feel fairly confident about the material. However, there are a handful of concepts that are brand new to me, so I am slightly nervous about looking over such concepts while I'm reviewing.,1,FND003+CN003
Performing well on Midterms and Finals,1,PR005+EX001+EX007
Since I have no prior chemistry experience, I am a little nervous about how I can process the information given. So far it has been ok, and I hope that remains the same.,1,FND001
I am most nervous about it being extremely difficult for me to conceptualize and understand.,1,CN003
The tests. I don't know how hard they will be and how strictly they will be graded.,1,EX001+EX003+EX006
The midterm.,1,EX001
Tests,1,EX001
I am most nervous about managing this course with my other courses.,1,PC005
It's my first quarter in college, so I don't really know what to expect.,1,TR002
I am nervous about making enough time to study effectively for this course,1,PC004
Remembering all the reactions,1,CN001+CN002
I think I've heard many mixed reviews about this course and its difficulty, so it makes me quite nervous thinking about how hard it will be to succeed in this class. However, Dr. Ow provides many resources to help with studying and I feel a lot more at ease going into this quarter.,1,RP001
I'm most nervous about asking questions or just going to office hours just because I get scared asking questions or speaking up.,1,PF003
I am working on building up m confidence for lab days. I am a very visual person, and with Spanish being my first language. I do sometimes find it hard to comprehend the lab manual.,1,PF001+LAB001+CM001
How to study and study methods I can use for this course. The pace and load of the content and being able to apply them in tests and timed-situations.,1,ST001+PC001+CN005
mastering concepts,1,CN003
understanding the material bc it all moves so fast!,1,CN003+PC001
I am nervous about the Math in chemistry since I am not really into it.,1,CN004
The curve,1,EX006
uncertainty on the exam formats,1,EX002
I am most nervous about memorizing all of the mechanisms because we go over them once only and very quickly.,1,CN001+CN002
Not keeping up with the pace or falling behind my peers. Also dealing with concepts people learned in high school that I never did.,1,PC001+FND003
Being able to retain and apply all of the information I am learning within a short period of time,1,CN001+CN005+PC001
I'm nervous I won't understand or remember all the concepts and then flop on the test,1,CN001+CN003+EX001
Understanding how to manage my time effectively and study on my own .,1,PC004+ST005
The amount of material and memorization needed.,1,PC003+CN001
I am nervous that I will fall behind as midterms approach in terms of balancing learning new concepts and reviewing older concepts.,1,PR001+EX001
mIssing an assignment becauase I'm unorganized/the work is in different places.,1,LG002
The amount needed to memorize,1,CN001+PC003
It's been a while since I've taken chemistry so I am nervous as I don't know what to expect with the midterm's difficulty.,1,FND004+EX003
Being able to know how to study well for this class.,1,ST001
Most nervous about failing,1,PR002
First college course,1,TR002
The pace at which we are learning at.,1,PC001
The difficulty and workload of the material given the pace of the quarter.,1,EX003+PC002+PC001
The difficulty and the workload of the material given the pace of the quarter system.,1,EX003+PC002+PC001
The exams!!,1,EX001
I am worried about how hard the tests will be, knowing this class is difficult.,1,EX003+RP001
Getting used to the workload and the new material,1,PC002+CN003
I am nervous about forgetting minor details when doing drawings.,1,CN001+CN006
I'm most nervous about tests since I haven't practiced the material I have learned much and I have yet to take one in this class.,1,EX001+ST003
This is the first science class that I am taking in college, so I am a bit nervour for that. However, I am confident in my ability to succeed in this class.,1,TR002+TR003
keeping up w the pace (bc i dont have a strong chem background),1,PC001+FND001
I am most nervous about learning new topics that I might be unfamiliar with and that might be hard to understand at first.,1,CN003
I am most nervous I will get behind in learning and doing practice problems and won't be able to catch up.,1,PR001+ST003
I am most nervous about managing my time so that I keep up with the content and don’t wait until the last minute to study for exams.,1,PC004+EX001
I'm most nervous about the course load. I have a lot of things going on, and I want to succeed and get an A in this class.,1,PC002+PR003
The midterms only being 15 questions--it doesn't give me any leeway for error. But I understand that it is up to me to prepare adequately for it.,1,EX002+EX001
This is a fast paced course with a lot of material so I'm nervous to get lost or confused on certain concepts but I will study extra on more concepts that confuse me when first introduced. I'm also nervous that most of this grade involves 2 exams and test taking makes me anxious a lot because I second guess my answers a lot.,1,PC001+PC003+EX001+EX009
Being able to take exams at ease.,1,EX001
This course is known as a notorious GPA killer and the concepts can be difficult to understand intuitively. I'm also trying to balance a new schedule outside of classes.,1,RP001+PR004+CN003+PC006
chemical terms, only learned Chemistry in another language,1,CM003+CM001
I am very nervous because this is one of my first college classes so I don’t know how I will perform! Also I have not taken chemistry since 11th grade and have never taken AP Chemistry.,1,TR002+FND003
The pace at which we are covering content is so quick, I feel like I am not absorbing all the information to it's fullest. I am simply relearning and then moving on. I want to practice internalizing the information given, I'm just not sure how.,1,PC001+CN003+ST001
The content is difficult for me to understand so I am worried I won't have enough time to fully study and understand the material before my midterms.,1,CN003+PC004+EX001
I'm really nervous about the concepts in this course, as I've never really been introduced to all of this before, especially its application to math.,1,CN003+CN004
Chem 14D is fast-paced and most of the concepts build upon each other throughout the quarter, so I am most nervous about solidifying my understanding of the course material early on and not falling behind.,1,PC001+CN003+PR001
Forming study strategies in college (the new environment/change is really throwing me off),1,ST001+TR006
I am worried about not putting enough time each week into studying and practicing the concepts learned in class. I am also worried that I will fall behind quickly, given my workload and extracurriculars this quarter. But I will try my best!,1,PC004+PR001
Everything I’ve heard about organic chemistry in general,1,RP001
Drawing the products from the reaction,1,CN002+CN006
The incredibly large number of reactions and mechanisms to learn and memorize inside and out,1,CN002+CN001
Memorizing reactions and things, fully understanding the concepts,1,CN001+CN002+CN003
I did really well in 14A, but I feel like the lectures are structured much differently, so I feel like I'm going to have to teach myself a lot more for this class.,1,TR005+ST005
I’ve always struggled in chemistry so I am nervous to take this class, however, so far I feel like I have learned and understood a lot of information from this course.,1,MT004
I am most nervous about the first midterm because I really don't know what to expect and I feel like this class moves much faster than my previous chemistry courses.,1,EX001+PC001
As I begin this course, I am most nervous about creating study habits regarding the content being learned in class. I am also scared because I do not know what to expect for exams.,1,ST001+EX002
Exam scores. I tend to understand the concepts but when it comes to the actual exam I make mistakes which lower my scores. In retrospect I can understand and correct them, but in the moment I can't see the mistakes.,1,EX001+CN003+EX009
I've heard that organic chemistry is really hard so it's made me quite hesitant for this course. Also, I've generally not done well in chem courses.,1,RP001+MT004
Staying motivated to keep up with studying.,1,PF005
if the problems on exams don't match practice problems,1,EX002+ST003
The midterms and finals.,1,EX001+EX007
Not enough practice sheets/questions; not being able to have individual time with professor due to schedule clashes,1,ST003+LG004
Being prepared enough to do well on midterms,1,EX004+EX001
Learning college level study habits.,1,ST001+TR002
I am most nervous about the midterms/final.,1,EX001+EX007
not knowing how to study,1,ST001
The midterms and how to recover from it if we do not do well on one.,1,EX001+PR002
I am most nervous about my first exam in this class, as I anticipate a bit of a learning curve in learning how to take and study for college-level exams.,1,EX001+TR003
..,1,MT005
I am most nervous about the change of style of teaching and test taking and how it will impact my scores.,1,TR005+EX002
I am most nervous about balancing this class with my other courses.,1,PC005
Keeping up the workload and finding enough practice problems to ensure that I am really understanding the content.,1,PC002+ST003
Making sure I stay on track with the material throughout the quarter so that I don’t end up trying to catch up.,1,PR001
If I still have the same study motivations as last year because of academic burnout,1,PF005
The tests content,1,EX001
The material piling up before the midterms and finals with not enough time to fuylly understand it before being tested on it.,1,PC002+EX001+EX007+PC004
I'm slightly worried I will go into an exam thinking it wont be too bad then get surprised and do poorly.,1,EX003+EX001
I am the most nervous that some chemistry concepts that are expected to be known, but I have not seen it in high school chemistry.,1,CN003+FND003
Not being well prepared.,1,EX004
Memorization on certain topics and what the test structure will be like.,1,CN001+EX002
Being able to teach myself the concepts after lecture is over,1,ST005+LG003
Gaining a real understanding of chemistry that I will be able to use in my future coursework.,1,CN003
I am nervous about managing my time well and making sure I have a good understanding of the material.,1,PC004+CN003
I’m not sure how exams are going to look, and if the midterms will be similar to our homework problem sets or more difficult.,1,EX002+EX003
I'm worried about how quickly the quarter goes by and how we learn material so fast (1 chapter/week). Some of the material is very difficult/not intuitive, so I am worried about having enough time to practice problems before exams.,1,PC007+PC001+ST003+EX001
I am nervous about the difficulty of tests since I am confident in problem sets, but an unsure how tests will look.  I have never taken a college test, and am not just nervous for chemistry, but my tests in every class to be clear.,1,EX003+TR003
I guess I am just nervous about getting used to the college workflow.,1,TR002
What the tests will look like,1,EX002
I am most nervous about the heavy memorization, difficult coursework, and managing my time. Due to the extracurriculars I am doing, I feel that I am always tired and do not have time to deepen my understanding. In addition, the peer learning sessions do not fit into my schedule. I also feel that I feel left behind by friends who previously took ochem,,1,CN001+PC002+PC004+PC006
I am most nervous about aspects that require memorization, as I do best with conceptual logic and understanding,1,CN001+CN003
Tests and grasping to material for the MCAT later on.,1,EX001+CN003
Time management, not falling behind with course materials,1,PC004+PR001
just remembering every little detail that i need to know,1,CN001
I think applying concepts that I understand to actual problems will be my most difficult challenge of this course,1,CN005
Don't have enough time to prepare myself for the upcoming exams, insufficient amount of practice exams to work on,1,PC004+EX001+ST003
Advanced O-chem,1,MT003
Not understanding foundational concepts that will be further built upon.,1,CN003+FND001
Getting questions answered since office hours are so busy, and figuring out the best ways to study to prep for exams,1,PF003+ST001
The first test is always the hardest, especially in this new environment.,1,EX001+TR006
not retaining enough info from previous courses,1,CN001+FND001
being a transfer,1,TR001
Mostly just memorizing all the rules and techniques in order to answer and calculate the problems properly.,1,CN001+CN004
