learn_best,count
Looking at alternate resources and going to office hours,1
Review sessions,1
Someone to slowly walk through the material with me after learning about it in lecture.,1
Going over notes and reexplaining the material to myself (in a google doc) in my own words.,1
"I try to find some other place to explain it to me, whether it be some other student or Youtube.",1
Practice problems that have detailed answer keys.,1
Practicing problems and asking multiple sources for their help and knowledge on the submit.,1
looking at videos and doing practice problems.,1
Having access to the solution and explanations of how it was reached,1
studying with people.,1
Practice problems and going to office hours.,1
Knowing that I am not the only person to have ever struggled with the given topic.,1
Watching youtube videos and doing practice problems.,1
Detailed solutions to problems where I can follow along each step and correct my mistakes. I also like directly asking my professor/TA for help.,1
Going to office hours and doing practice problems,1
"The best method for me is to seek help from an instructor, such as a TA or the professor and get direct one on one help on a certain problem, which I can then apply to other similar questions.",1
I learn best when I practice and find more explanations of the material.,1
"I have friends explain it to me, or I talk to a professor or TA in person to clarify concepts. Before that, I rewatch lecture videos, watch YouTube videos, and do textbook practice problems.",1
Finding outside resources/videos to do content review with to explain difficult concepts.,1
"I reread the textbook, take new notes, find videos online, and go to office hours",1
Start going through what I understand from the problem and going through possible ideas.,1
Watching online tutorials and practicing a lot,1
Piecing together my notes,1
I usually watch videos to try and hear the topic in a different manner.,1
Reviewing where I went wrong and trying different studying habits,1
Reviewing the concepts and ideas behind the problems asked.,1
Lots of practice questions and exams that give answer keys explaining how each answer was found,1
Practice Problems,1
What helps me learn best when material feels confusing or challenging is reading a textbook or watching videos before approaching the problem because understanding the concepts before approaching problems helps me recall the material more.,1
I feel that going over material with others helps a lot when topics are confusing as others around me may understand the content better and can lead to my own understanding of the material.,1
Doing many practice problems.,1
"Review, asking questions, practice questions",1
Easy exams.,1
"Having an expert in the subject, a TA or Instructor, answer my questions an/or walk me step-by-step through a problem.",1
Watching YouTube videos of respected tutors is helpful to me.,1
Trying different approaches to learning and also doing practice problems helps me best when the material feels confusing or challenging.,1
"I think watching videos, collaborating with peers, attending office hours, and completing practice problems all help me understand the material when it feels confusing or challenging.",1
"I will refer to all the class resources first, lecture notes, recording, and textbook. Then I may refer to practice questions and ChatGPT to explain concepts to me for specific questions.",1
"Going to office hours, watching YouTube videos, and lots of PRACTICE help me when material feels confusing.",1
Active recall methods and practicing test problems help a lot.,1
Taking a new approach and working at it day by day,1
Going over my mistakes and practicing them over again until I get them right.,1
"What helps is going step by step on problems that I don't understand, finding and understanding the concept of the topic.",1
The most effective way for me to study novel chemistry topics is by completing practice problems and going to office hours to get help clarifying where I was incorrect in my processes.,1
"When the material feels confusing I utilize my AAP PLF session, YouTube videos, my TAs office hours, an extensive amount of practice problems and my friends who are in the class",1
Grinding practice problems.,1
Studying with others,1
"Usually, when I am able to relate the material to something I am confident in.",1
I like drilling practice problems!,1
Videos and images help me learn best. Review also helps me learn best when it’s confusing.,1
Asking for help!,1
Working with other people.,1
I like communicating with someone and finding ways to reword the problem to fit my understanding of it.,1
Talking about it.,1
I usually find videos online explaining concepts or look up solutions to problems.,1
"Learning the material in different ways (videos, textbook readings, explaining concepts to myself...), doing lots of practice problems",1
Consistent Practice,1
Going back to the textbook to learn concepts,1
Asking the teacher or my peers questions and also turning to the internet to explain.,1
Attending office hours and talking to my peers in the same or similar courses helps me gain a better understanding of the course material.,1
saying it as a story and simplifying it,1
Asking other people for help or walking through the problem with other people,1
Watching Audio Visual Modules and taking the assessments,1
going to office hours; watching outside videos to review the concepts,1
reviewing lecture notes,1
Additional videos.,1
Usually I would require more explanations on topics I don’t understand and to go over concepts more slowly.,1
"I like reading the textbook and retaking notes from the lecture slides and the textbook. I like to then do homework problems to apply the knowledge. I like having a study buddy that understands the topic better than me so that I don't lead myself astray and solidify the wrong information.
simple straightforward notes help. like a key of equations and when to use them.",1
"I try to study with others and explain the material to them as if I am the one teaching, because that drills the content into my head better. If I really don’t understand then I seek help through YouTube Videos or trying to ask the professor questions.",1
"Studying in groups, doing practice problems, and the white board method.",1
I usually just look and relook at my notes attempting to explain it to myself. If I can explain why things happen then I understand it. I also try to summarize main concepts rather than the small things.,1
"I usually watch organic chemistry tutor, or khan academy.",1
"When I talk to someone (instructor, TA, LA, or classmate) and have them explain to me",1
Youtube Videos,1
Lots of practice problems and going to office hours.,1
"I rewatch lectures, review the textbook, and look for online resources that explain challenging topics from a different perspective.",1
I tend to do practice problems until I feel confident in my ability.,1
"putting in the work after hours and researching, asking peers",1
"Going to plf, asking questions, getting a tutor, practice problems.",1
"Taking things one step at a time; not trying to take in everything at once, but going through each step/component and understanding that, and then after going through each part slowly, then finally thinking about the whole again to understand. Going one piece at a time also helps things from feeling overwhelming and discouraging.",1
Usually doing more practice problems to build familiarity and understanding of the question and material.,1
Extra examples that actually apply to the concepts that we're learning and don't reach beyond our knowledge just for the fun of it.,1
Study the notes and watch videos on the topics. (Also going to office hours help.),1
"Attending office hours, connecting with peers, or looking for help online are all tactics I use to understand when materials feel confusing or challenging.",1
Seeking assistance from others who do understand the material.,1
Instructional videos that teach the concepts and the steps to solving problems related to the concepts.,1
Reviewing lectures and doing practice problems.,1
Doing practice problems helps me feel more confident on confusing or challenging materials.,1
"Seeking support through TAs, peers, or other campus resources.",1
problem walkthroughs with thought process,1
"Attending TA office hours, PLFs and talking with other students as well as practicing on my own with additional resources outside of this class.",1
"Reading the textbook, solving more practice problems, revisiting the notes, going to start going to the step-up sessions, watching viddeos online",1
"Having support, more problems, and consistent/accessible help",1
I usually watch videos online that explain concepts in more detail. It helps when there are visual aspects in those videos as well.,1
"Office hours, peers, online resources, or AI learning help like ChatGPT.",1
Working with other students and explaining concepts to them.,1
I usually try to take a break and then return instead of powering through.,1
Finding explanations online or taking a break and trying again.,1
By doing practice problems and connect the dots where I am messing up.,1
To ask other on the process of solving a a question and to seek out answers to understand the concept as a whole.,1
Working with others who can explain concepts in a different or more in-depth way usually helps me understand things a lot better and then doing several practice problems until I feel confident also helps me.,1
"Using tools to learn it, such as KhanAcademy and Google.",1
Going through example problems and practices problems help me learn best when material is confusing or challenging,1
"Working with peers on the problems, then consulting the instructor when necessary.",1
Reviewing the lecture slides.,1
Doing many exercises until i get everything right after studying notes and theory.,1
Taking a step back and trying to find the root cause of what's confusing and then finding secondary sources online to explain that root problem,1
Trying to use various resources to develop intuition for why things are done a certain way,1
Practice a lot and ask questions.,1
Practice problems with answer keys that worked out the problems step-by-step that I can reference.,1
YouTube explanation vids,1
"Having tutoring!!!! But I am not eligible for Peer Learning, so I feel left behind. Do they offer similar tutoring for people who don't qualify for AAP? AAP gives extra practice problems similar to what will be tested on, and students not in AAP get left behind.",1
I usually review practice problems or worked solutions which can help with the process of solving questions or reviewing concepts of the material.,1
When we can ask questions and get quick answers,1
Rewatching lecture videos slowly to carefully follow along with the professor's explanation and make sure I understand the topic with my own logic,1
Going to problem solving sessions or in person office hours,1
"Office Hours, Review Session, Problem Solving Sessions. Everything that Dr. Riu is doing",1
Just practice and watching videos,1
I go back to lecture videos and rewatch them and do practice problems. I also highly benefit from someone explaining a topic to me and going very slow and in depth.,1
I usually do practice problems and study those over and over again.,1
"I need to push through and look at new solutions, and not surrender to not knowing the material",1
I watch videos or try to read through notes and old practice problems. I also try to reach out but I don't always plan accordingly to ask questions and also naturally struggle to want to ask for help.,1
"Rewatching lecture, working through practice problems, asking for help from instructor",1
Practice problems and looking at the steps to solving the material.,1
Doing practice problems.,1
Doing practice problems and applying concepts,1
The resource that helps me learn the absolute best when material feels confusing or challenging is reaching out to someone who knows the material and is able to explain it to me.,1
"Doing practice problems, and having people explain the methods to me.",1
Having extra tutoring outside of class and outside of office hours.,1
"I rewrite notes, homework problems, and discussion worksheets by hand. I then go in and highlight/annotate parts I dotn understand and clarify.",1
Usually I try to ask for help or I try to explain the topic to myself,1
