theme_id,primary_category,secondary_category,description,keywords
CN005,CONTENT_KNOWLEDGE,application_problems,Worry about applying concepts to problems,"apply,application,solve problems,problem solving,practice problems"
CN006,CONTENT_KNOWLEDGE,visualization,Difficulty with molecular visualization,"3D,2D,visualize,visualization,diagrams,draw,structural"
FND001,FOUNDATION,prior_knowledge_gap,Concern about lacking prerequisite knowledge,"foundation,background,basics,prior knowledge,prerequisite"
FND002,FOUNDATION,thirtyA_specific,Specific worry about remembering Chem 30A content,"30A,previous course,last quarter,last class"
FND003,FOUNDATION,high_school_gap,Gap since high school chemistry,"high school,AP Chem,senior year,11th grade,been a while"
FND004,FOUNDATION,time_since_chem,Gap since any chemistry course,"since I took,last time,been years,long time,not fresh"
FND005,FOUNDATION,transfer_articulation,Transfer student uncertainty about alignment,"transfer,community college,CC,previous school,didn't cover"
LAB001,LABORATORY,lab_skills,Nervous about lab procedures and techniques,"lab,laboratory,equipment,experiment,technique,skills,hands-on"
LAB002,LABORATORY,lab_workload,Concern about pre-lab/post-lab workload,"pre-lab,post-lab,prelab,postlab,lab report,lab manual"
LAB003,LABORATORY,lab_pacing,Worry about finishing labs on time,"finish lab,lab period,complete experiment,time in lab,rushed"
LAB004,LABORATORY,lab_final,Concern about lab content on final,"lab final,lab practical,experiment on final"
PR001,PERFORMANCE_FEARS,falling_behind,Fear of getting behind and not catching up,"fall behind,get behind,falling behind,catch up,behind,stay on track"
PR002,PERFORMANCE_FEARS,failing,Fear of failing the course,"fail,failing,not pass,flop,do poorly"
PR003,PERFORMANCE_FEARS,grades,Worry about specific grade outcomes,"grade,get an A,A,B,C,good grade,grade killer"
PR004,PERFORMANCE_FEARS,gpa_impact,Concern about impact on GPA,"GPA,grade point,impact grades"
PR005,PERFORMANCE_FEARS,doing_well,General desire to succeed/do well,"succeed,success,do well,perform well"
ST001,STUDY_METHODS,study_effectiveness,Unsure how to study effectively for this course,"study effectively,study habits,study methods,study strategies,how to study"
ST002,STUDY_METHODS,study_development,Need to develop new study approaches,"figure out,develop,new habits,different approach,find what works"
ST003,STUDY_METHODS,practice_problems,Concern about having enough practice,"practice problems,practice,enough practice,more practice"
ST004,STUDY_METHODS,resource_utilization,Worry about using resources effectively,"resources,use resources,office hours,tutoring,help,utilize"
ST005,STUDY_METHODS,self_teaching,Feeling need to teach self outside lecture,"teach myself,on my own,learn alone,independent,solo"
ST006,STUDY_METHODS,knowing_focus,Uncertainty about what to focus on,"what to study,what's important,what to know,focus on,prioritize"
TR001,TRANSITION,transfer_student,Specific concerns as transfer student,"transfer student,transfer,community college,CC,transferred"
TR002,TRANSITION,first_college_course,First college course generally,"first college,first quarter,first year,freshman,new student"
TR003,TRANSITION,first_college_chem,First college chemistry course,"first chem,first chemistry,college chem,new to chem"
TR004,TRANSITION,high_school_to_college,Adjusting from high school to college level,"high school,used to,adjusting to college,different from high school"
TR005,TRANSITION,professor_teaching_style,Adjusting to professor's teaching style,"teaching style,lecture style,professor teaches,way of teaching"
TR006,TRANSITION,new_environment,Adjusting to new campus/environment,"new campus,new environment,new school,adjusting to being"
PF001,PERSONAL_FACTORS,confidence_issues,Lack of confidence in knowledge/abilities,"not confident,don't feel confident,lack confidence,unsure of myself"
PF002,PERSONAL_FACTORS,imposter_syndrome,Feeling like an outsider/not belonging,"outsider,don't belong,imposter,scary coming in,not for me"
PF003,PERSONAL_FACTORS,asking_for_help,Nervous about seeking help/office hours,"ask questions,speak up,office hours,intimidated to ask,scared asking"
PF004,PERSONAL_FACTORS,self_doubt,Questioning ability to succeed,"not smart enough,can I do this,ability,capable,if I can"
PF005,PERSONAL_FACTORS,motivation_burnout,Concerns about maintaining motivation,"motivation,burnout,tired,staying motivated,keep up"
LG001,LOGISTICS,course_organization,Confusion about course structure/requirements,"confusing,unclear,structure,organization,where things are,clear"
LG002,LOGISTICS,assignment_tracking,Worry about keeping track of deadlines,"deadlines,due dates,assignments,track,keep up,remember when"
LG003,LOGISTICS,lecture_following,Difficulty following lectures,"lecture,understand lecture,follow along,absorb,keep up in class"
LG004,LOGISTICS,class_size,Concerns about impersonal large class,"large class,big class,one on one,individual attention"
LG005,LOGISTICS,zoom_online,Challenges with online/zoom format,"zoom,online,breakout rooms,virtual,remote"
CM001,COMMUNICATION,english_proficiency,Nervous about English not being first language,"English,language,proficient,second language,ESL"
CM002,COMMUNICATION,expressing_questions,Difficulty communicating questions/concerns,"communicate,express,clarify,articulate,get across"
CM003,COMMUNICATION,terminology,Struggling with chemical terminology,"terms,terminology,naming,nomenclature,vocabulary"
RP001,REPUTATION,heard_difficult,Nervous due to course's difficult reputation,"heard,reputation,everyone says,people say,known as,said to be"
RP002,REPUTATION,smart_friends_struggled,Friends struggled in course before,"smart friends,struggled before,others struggled,my friends"
RP003,REPUTATION,horror_stories,Heard horror stories about the course,"horror stories,nightmare,terrible"
MT001,MISC,not_nervous,Express not being nervous,"not nervous,not worried,fine,confident,all good"
MT002,MISC,everything,Nervous about everything,"everything,all of it"
MT003,MISC,specific_topic,Nervous about specific named topic,"quantum,elimination,thermo,naming,mechanism specifically"
MT004,MISC,prior_negative_experience,Previous poor performance in similar course,"did poorly,struggled before,rough time,previous experience,bad experience"
MT005,MISC,nothing_specific,No specific concerns,"nothing specific,not really,not particularly,no,na"
